date,count
1842-10-28,323
1842-11-02,179
1842-11-07,417
1842-11-10,10
1842-11-23,383
1842-11-24,80
1842-11-29,748
1842-12-01,1630
1842-12-09,38
1842-12-13,3823
1842-12-14,2163
1842-12-15,155
1842-12-20,864
1843-01-16,14
1843-01-19,341
1843-01-23,2660
1843-01-24,2543
1843-01-25,1035
1843-01-30,1218
1843-02-04,620
1843-02-07,1228
1843-02-09,710
1843-02-11,3096
1843-02-14,934
1843-02-20,579
1843-02-28,286
1843-03-03,690
1843-03-06,634
1843-03-10,3039
1843-03-16,776
1843-03-17,223
1843-03-20,408
1843-03-24,2326
1843-03-27,472
1843-03-31,120
1843-04-04,339
1843-04-05,3612
1843-05-05,6
1843-05-08,774
1843-05-15,386
1843-05-17,743
1843-05-19,47
1843-05-20,3067
1843-05-23,5377
1843-05-24,8678
1843-05-26,6497
1843-05-27,3776
1843-05-29,3245
1843-06-07,26
1843-06-10,284
1843-06-15,48
1843-06-17,2034
1843-08-07,170
1843-08-08,413
1843-08-10,18
1843-08-11,2115
1843-08-14,3214
1843-08-15,2814
1843-08-16,248
1843-08-18,2421
1843-08-22,1268
1843-08-28,847
1843-08-30,1837
1843-09-12,63
1843-09-14,952
1843-09-15,2525
1843-09-18,3791
1843-09-19,4410
1843-09-20,4308
1843-09-22,399
1843-09-25,19
1843-09-26,4820
1843-09-27,4165
1843-09-28,6730
1843-09-29,3708
1843-09-30,4639
1843-10-02,7706
1843-10-03,6464
1843-10-04,6167
1843-10-05,3578
1843-10-10,31
1843-10-17,44
1843-10-19,218
1843-10-20,4067
1843-10-21,4
1843-10-23,853
1843-11-23,129
1843-11-24,131
1843-11-27,140
1843-12-02,79
1843-12-09,169
1843-12-11,1992
1843-12-14,27
1843-12-18,4408
1843-12-19,396
1843-12-20,15
1843-12-21,2859
1843-12-22,4936
1843-12-23,3036
1843-12-30,8
1844-01-03,562
1844-01-09,672
1844-01-17,1215
1844-01-19,3289
1844-01-20,17
1844-01-23,2948
1844-01-26,484
1844-01-29,39
1844-02-02,505
1844-02-06,4752
1844-02-07,4921
1844-02-08,2551
1844-02-15,1149
1844-02-19,386
1844-02-23,4760
1844-02-24,4769
1844-02-26,7174
1844-02-27,6888
1844-02-28,8272
1844-02-29,3353
1844-03-01,3023
1844-05-21,251
1844-05-24,26
1844-05-29,41
1844-06-05,751
1844-06-13,616
1844-06-15,1111
1844-06-19,1813
1844-06-20,3848
1844-06-21,1819
1844-06-22,3722
1844-06-26,35
1844-10-21,42
1844-10-22,936
1844-10-24,741
1844-10-26,11
1844-10-29,335
1844-10-30,4415
1844-10-31,3269
1844-11-04,210
1844-11-05,1447
1844-11-11,6279
1844-11-13,2368
1844-11-19,648
1844-11-23,144
1844-11-27,3708
1844-11-28,6404
1844-12-05,228
1844-12-07,3568
1844-12-10,330
1844-12-11,7
1844-12-12,2312
1844-12-28,750
1845-02-06,228
1845-02-20,1839
1845-02-25,356
1845-02-27,2927
1845-02-28,4257
1845-03-08,1139
1845-03-10,1926
1845-03-14,2701
1845-04-08,89
1845-04-12,316
1845-04-17,669
1845-04-19,377
1845-04-24,2518
1845-04-25,4711
1845-04-26,3057
1845-04-28,4752
1845-04-30,7487
1845-05-05,183
1845-05-07,5384
1845-05-08,3756
1845-05-20,50
1845-05-23,413
1845-05-26,4726
1845-05-27,3739
1845-05-28,6684
1845-05-29,6065
1845-05-30,1608
1845-06-03,3780
1845-06-04,5882
1845-06-05,3269
1845-06-07,395
1845-06-14,10
1845-06-16,2409
1845-06-17,4635
1845-06-18,2215
1845-06-19,1573
1845-06-20,5377
1845-06-21,2026
1845-06-23,3520
1845-06-25,2459
1845-06-28,22
1845-10-21,198
1845-10-24,472
1845-10-27,1535
1845-10-30,2767
1845-11-06,338
1845-11-08,299
1845-11-14,1773
1845-11-18,3008
1845-11-19,3785
1845-11-25,907
1845-11-28,3689
1845-12-02,937
1845-12-11,3267
1845-12-12,4522
1845-12-13,1140
1845-12-16,3978
1846-02-06,36
1846-02-10,49
1846-02-11,2369
1846-02-16,1075
1846-02-19,2914
1846-02-23,370
1846-02-28,402
1846-03-03,1070
1846-03-16,59
1846-03-21,260
1846-03-23,4893
1846-03-25,778
1846-03-26,3518
1846-03-27,2659
1846-03-28,5871
1846-03-30,2636
1846-03-31,445
1846-04-03,4939
1846-04-04,4686
1846-04-06,6147
1846-04-08,3106
1846-04-20,4354
1846-04-21,3422
1846-04-23,287
1846-04-24,527
1846-04-27,205
1846-04-29,110
1846-04-30,9
1846-05-01,269
1846-05-02,993
1846-05-04,4616
1846-05-05,6962
1846-05-06,2307
1846-05-07,787
1846-05-11,62
1846-10-27,1544
1846-10-28,4759
1846-10-29,668
1846-10-30,250
1846-11-03,52
1846-11-04,3653
1847-02-08,307
1847-02-09,783
1847-02-15,638
1847-02-22,12
1847-02-27,508
1847-03-03,59
1847-03-08,57
1847-03-11,395
1847-03-13,3200
1847-03-15,3403
1847-03-17,3023
1847-03-19,1427
1847-03-22,355
1847-03-24,3356
1847-03-26,223
1847-03-29,2282
1847-04-26,23
1847-04-27,43
1847-05-03,2538
1847-05-04,2189
1847-05-05,135
1847-05-06,3046
1847-05-08,1745
1847-05-11,1523
1847-05-12,723
1847-05-14,848
1847-06-07,64
1847-06-25,239
1847-06-28,4360
1847-07-13,3122
1847-07-14,3563
1847-07-15,2935
1847-07-16,2874
1847-07-17,3699
1847-07-19,3878
1847-07-20,4489
1847-07-21,2048
1847-07-23,882
1847-07-26,5189
1847-07-28,5108
1847-07-30,4354
1847-07-31,3981
1847-08-02,5726
1847-08-03,6033
1847-08-04,3248
1847-08-05,6729
1847-08-06,4139
1847-08-07,1460
1847-08-09,3066
1847-08-11,16
1847-10-19,1192
1847-10-26,1979
1847-10-27,2708
1847-10-30,269
1847-11-09,324
1847-11-11,71
1847-11-17,199
1847-11-19,893
1847-11-20,1118
1848-03-09,39
1848-03-18,871
1848-03-22,355
1848-03-25,341
1848-03-28,2031
1848-05-09,373
1848-07-11,1662
1848-07-13,2807
1848-07-17,2612
1848-07-19,1407
1848-07-20,3326
1848-08-15,1240
1848-08-16,4460
1848-08-17,4866
1848-08-18,6453
1848-08-19,7720
1848-08-21,4952
1848-08-22,2171
1848-08-23,7409
1848-08-24,7726
1848-08-26,1171
1848-09-22,185
1848-10-02,3577
1848-10-03,4415
1848-10-04,3596
1848-10-05,3813
1848-10-06,6095
1848-10-07,4149
1848-10-14,50
1848-10-20,54
1848-10-21,421
1848-10-26,91
1848-10-27,706
1848-12-18,1495
1849-02-14,66
1849-02-15,4183
1849-02-16,2951
1849-02-19,607
1849-02-20,44
1849-02-21,656
1849-02-22,2140
1849-02-23,4657
1849-02-24,4384
1849-02-26,342
1849-02-27,2152
1849-03-01,676
1849-03-05,50
1849-04-20,1956
1849-04-21,2712
1849-04-22,3159
1849-04-23,5150
1849-04-24,582
1849-04-25,3079
1849-04-27,3981
1849-05-01,1060
1849-05-04,2395
1849-05-05,2887
1849-05-07,282
1849-05-08,1859
1849-05-14,109
1849-05-16,3093
1849-05-18,2316
1849-05-19,144
1849-05-21,1777
1849-05-23,2757
1849-05-24,2120
1849-05-25,2283
1849-06-11,102
1849-06-14,890
1849-06-15,54
1849-06-16,477
1849-06-18,1415
1849-06-19,3143
1849-07-10,46
1849-07-12,510
1849-07-14,3134
1849-07-16,2388
1849-07-17,3277
1849-07-18,2643
1849-07-19,3238
1849-07-20,2856
1849-07-21,2208
1849-07-23,2056
1849-07-24,2491
1849-07-25,2124
1849-07-26,776
1849-07-27,2814
1849-07-30,73
1849-07-31,26
1849-08-01,694
1849-08-04,2006
1849-08-06,78
1849-08-09,1364
1849-08-11,670
1849-09-03,300
1849-09-04,1868
1849-09-07,2952
1849-09-08,3009
1849-09-11,572
1849-09-12,1241
1849-09-13,832
1849-09-15,1445
1849-09-20,294
1849-09-21,1498
1849-09-24,67
1849-09-25,72
1849-09-26,2316
1849-11-13,909
1849-11-14,371
1849-11-15,254
1849-11-19,573
1849-12-10,1939
1849-12-11,1166
1849-12-12,2481
1849-12-13,4387
1849-12-14,5270
1849-12-15,4688
1849-12-17,4535
1849-12-18,4082
1849-12-19,4171
1849-12-20,4807
1849-12-21,6368
1849-12-22,2045
1849-12-27,497
1849-12-28,5695
1849-12-29,3647
1850-02-13,1414
1850-02-14,1537
1850-02-15,448
1850-02-18,502
1850-02-22,1584
1850-02-25,475
1850-03-01,507
1850-03-04,116
1850-03-06,3266
1850-03-07,4130
1850-03-08,2932
1850-03-11,1545
1850-03-12,2925
1850-03-13,2220
1850-03-14,2377
